name,url,country,article_title,revision_id,quality_score
Baran Khan Kudezai,https://en.wikipedia.org/wiki/Baran_Khan_Kudezai,Afghanistan,Baran_Khan_Kudezai,1176481824,Start
Azizullah Lodin,https://en.wikipedia.org/wiki/Azizullah_Lodin,Afghanistan,Azizullah_Lodin,1247762293,Start
Razaq Mamoon,https://en.wikipedia.org/wiki/Razaq_Mamoon,Afghanistan,Razaq_Mamoon,1227180106,Start
Fazel Ahmed Manawi,https://en.wikipedia.org/wiki/Fazel_Ahmed_Manawi,Afghanistan,Fazel_Ahmed_Manawi,1234514379,Stub
Moeen Marastial,https://en.wikipedia.org/wiki/Moeen_Marastial,Afghanistan,Moeen_Marastial,1246567093,GA
Ahmad Wali Massoud,https://en.wikipedia.org/wiki/Ahmad_Wali_Massoud,Afghanistan,Ahmad_Wali_Massoud,1221720658,Stub
Mohammad Daud Miraki,https://en.wikipedia.org/wiki/Mohammad_Daud_Miraki,Afghanistan,Mohammad_Daud_Miraki,1227103354,Start
Abdul Sattar Mirzakwal,https://en.wikipedia.org/wiki/Abdul_Sattar_Mirzakwal,Afghanistan,Abdul_Sattar_Mirzakwal,1145249317,Stub
Abdul Karim Misaq,https://en.wikipedia.org/wiki/Abdul_Karim_Misaq,Afghanistan,Abdul_Karim_Misaq,1235405154,Start
Ali Mohammad (politician),https://en.wikipedia.org/wiki/Ali_Mohammad_(politician),Afghanistan,Ali_Mohammad_(politician),1136630194,Stub
Nasruddin Mohseni,https://en.wikipedia.org/wiki/Nasruddin_Mohseni,Afghanistan,Nasruddin_Mohseni,1136630129,Start
Davood Moradian,https://en.wikipedia.org/wiki/Davood_Moradian,Afghanistan,Davood_Moradian,1239319380,Stub
Zalmai Mujadidi,https://en.wikipedia.org/wiki/Zalmai_Mujadidi,Afghanistan,Zalmai_Mujadidi,1223903677,Stub
Sardar Mohammad Nadir Naeem,https://en.wikipedia.org/wiki/Sardar_Mohammad_Nadir_Naeem,Afghanistan,Sardar_Mohammad_Nadir_Naeem,1204109653,C
Daoud Naji,https://en.wikipedia.org/wiki/Daoud_Naji,Afghanistan,Daoud_Naji,1247131367,Start
Gholam Rabani Nasher,https://en.wikipedia.org/wiki/Gholam_Rabani_Nasher,Afghanistan,Gholam_Rabani_Nasher,1136534788,Start
Ghulam Faroq Nijrabi,https://en.wikipedia.org/wiki/Ghulam_Faroq_Nijrabi,Afghanistan,Ghulam_Faroq_Nijrabi,1136614778,Start
Zabih-U-llah Ghazi Noristani,https://en.wikipedia.org/wiki/Zabih-U-llah_Ghazi_Noristani,Afghanistan,Zabih-U-llah_Ghazi_Noristani,1136614682,Stub
Mohammed Tahir Omar,https://en.wikipedia.org/wiki/Mohammed_Tahir_Omar,Afghanistan,Mohammed_Tahir_Omar,1185088733,Stub
Mohammed Qalamuddin,https://en.wikipedia.org/wiki/Mohammed_Qalamuddin,Afghanistan,Mohammed_Qalamuddin,1178097642,Stub
Ghulam Mohammad Rigi,https://en.wikipedia.org/wiki/Ghulam_Mohammad_Rigi,Afghanistan,Ghulam_Mohammad_Rigi,1129192917,Stub
